"scenario_id","residual_loss"
"sha256:ff2d3-r2j-00277","17534.802048845107"
"sha256:ff2d3-r2j-00278","33915.71959322987"
"sha256:ff2d3-r2j-00279","16851.570662251477"
"sha256:ff2d3-r2j-00280","29054.34022598095"
"sha256:ff2d3-r2j-00281","25703.348560270882"
"sha256:ff2d3-r2j-00282","43189.67296771832"
"sha256:ff2d3-r2j-00283","29054.34022598095"
"sha256:ff2d3-r2j-00284","26169.156601620678"
"sha256:ff2d3-r2j-00285","22281.692968766976"
"sha256:ff2d3-r2j-00286","25371.70113717518"
"sha256:ff2d3-r2j-00287","41239.516136125385"
"sha256:ff2d3-r2j-00288","33265.1411836607"
"sha256:ff2d3-r2j-00289","4513.5276647142455"
"sha256:ff2d3-r2j-00290","44572.1742471529"
"sha256:ff2d3-r2j-00291","29054.34022598095"
"sha256:ff2d3-r2j-00292","29054.34022598095"
"sha256:ff2d3-r2j-00293","8048.346622505382"
"sha256:ff2d3-r2j-00294","25894.37404152088"
"sha256:ff2d3-r2j-00295","-3696.765470211598"
"sha256:ff2d3-r2j-00296","7369.193520004468"
"sha256:ff2d3-r2j-00297","28782.233452995497"
"sha256:ff2d3-r2j-00298","29054.34022598095"
"sha256:ff2d3-r2j-00299","29054.34022598095"
"sha256:ff2d3-r2j-00300","18255.15925465565"
"sha256:ff2d3-r2j-00301","29054.34022598095"
"sha256:ff2d3-r2j-00302","33087.74388157673"
"sha256:ff2d3-r2j-00303","-15781.863019163313"
"sha256:ff2d3-r2j-00304","29054.34022598095"
"sha256:ff2d3-r2j-00305","29054.34022598095"
"sha256:ff2d3-r2j-00306","-10073.579247053334"
"sha256:ff2d3-r2j-00307","-4817.436645783804"
"sha256:ff2d3-r2j-00308","-7805.921341511348"
"sha256:ff2d3-r2j-00309","41794.279737468154"
"sha256:ff2d3-r2j-00310","35732.46257975331"
"sha256:ff2d3-r2j-00311","29054.34022598095"
"sha256:ff2d3-r2j-00312","29054.34022598095"
"sha256:ff2d3-r2j-00313","7233.381995218089"
"sha256:ff2d3-r2j-00314","52981.31929917507"
"sha256:ff2d3-r2j-00315","29054.34022598095"
"sha256:ff2d3-r2j-00316","29054.34022598095"
"sha256:ff2d3-r2j-00317","29054.34022598095"
"sha256:ff2d3-r2j-00318","29054.34022598095"
"sha256:ff2d3-r2j-00319","50321.70794007664"
"sha256:ff2d3-r2j-00320","39852.5891569994"
"sha256:ff2d3-r2j-00321","32562.48607806988"
"sha256:ff2d3-r2j-00322","21570.30284197712"
"sha256:ff2d3-r2j-00323","39319.403560124396"
"sha256:ff2d3-r2j-00324","15230.237812712294"
"sha256:ff2d3-r2j-00325","48891.11839676609"
"sha256:ff2d3-r2j-00326","29054.34022598095"
"sha256:ff2d3-r2j-00327","45384.72395480213"
"sha256:ff2d3-r2j-00328","29054.34022598095"
"sha256:ff2d3-r2j-00329","39711.00291490956"
"sha256:ff2d3-r2j-00330","29886.378464621546"
"sha256:ff2d3-r2j-00331","29054.34022598095"
"sha256:ff2d3-r2j-00332","31553.917424235726"
"sha256:ff2d3-r2j-00333","39889.2805210619"
"sha256:ff2d3-r2j-00334","27165.548063209728"
"sha256:ff2d3-r2j-00335","37950.82042865582"
"sha256:ff2d3-r2j-00336","14031.12508300343"
